year,month,dayofyear,time_of_day,rate_of_change,weekday,wind_chill,rel_hum_,rain,snow,is_holiday
2016,7,183,0,1.0,4,15.825,72.75,0.0,0.0,1
2016,7,183,1,-1.0,4,16.975,76.0,0.0,0.0,1
2016,7,183,2,1.0,4,17.75,82.0,2.0,0.0,1
2016,7,183,3,-2.0,4,19.325000000000003,75.75,1.0,0.0,1
2016,7,183,4,-4.0,4,21.1,57.0,0.0,0.0,1
2016,7,183,5,3.0,4,16.8,70.25,0.0,0.0,1
2016,7,184,0,4.0,5,14.75,73.75,0.0,0.0,0
2016,7,184,1,-3.0,5,14.950000000000001,72.0,0.0,0.0,0
2016,7,184,2,0.0,5,19.475,59.5,0.0,0.0,0
2016,7,184,3,-5.0,5,24.725,36.75,0.0,0.0,0
2016,7,184,4,3.0,5,24.575000000000003,34.75,0.0,0.0,0
2016,7,184,5,2.0,5,19.3,49.5,0.0,0.0,0
2016,7,185,0,-2.0,6,14.8,68.25,0.0,0.0,0
2016,7,185,1,-2.0,6,15.0,72.75,0.0,0.0,0
2016,7,185,2,0.0,6,17.9,69.0,0.0,0.0,0
2016,7,185,3,-2.0,6,20.775,57.5,0.0,0.0,0
2016,7,185,4,-5.0,6,21.150000000000002,55.75,0.0,0.0,0
2016,7,185,5,1.0,6,22.2,47.75,0.0,0.0,0
2016,7,186,0,1.0,0,15.825,71.0,0.0,0.0,0
2016,7,186,1,0.0,0,14.5,80.25,0.0,0.0,0
2016,7,186,2,13.0,0,20.125,63.0,0.0,0.0,0
2016,7,186,3,10.0,0,23.575000000000003,47.75,0.0,0.0,0
2016,7,186,4,-2.0,0,21.125,60.0,0.0,0.0,0
2016,7,186,5,-23.0,0,19.05,66.5,0.0,0.0,0
2016,7,187,0,-2.0,1,19.925,66.0,0.0,0.0,0
2016,7,187,1,2.0,1,18.625,70.5,0.0,0.0,0
2016,7,187,2,6.0,1,21.8,63.0,0.0,0.0,0
2016,7,187,3,5.0,1,25.2,55.75,0.0,0.0,0
2016,7,187,4,-5.0,1,26.725,54.25,0.0,0.0,0
2016,7,187,5,-13.0,1,25.049999999999997,56.0,0.0,0.0,0
2016,7,188,0,-2.0,2,18.6,81.25,0.0,0.0,0
2016,7,188,1,-5.0,2,18.125,86.25,0.0,0.0,0
2016,7,188,2,9.0,2,23.65,72.25,0.0,0.0,0
2016,7,188,3,8.0,2,28.0,55.5,0.0,0.0,0
2016,7,188,4,-3.0,2,24.625,65.25,0.0,0.0,0
2016,7,188,5,-9.0,2,21.15,77.5,0.0,0.0,0
2016,7,189,0,5.0,3,19.25,87.75,0.0,0.0,0
2016,7,189,1,1.0,3,18.575,93.5,0.0,0.0,0
2016,7,189,2,4.0,3,21.7,85.0,0.0,0.0,0
2016,7,189,3,4.0,3,26.275,72.5,0.0,0.0,0
2016,7,189,4,1.0,3,27.125,66.5,0.0,0.0,0
2016,7,189,5,-25.0,3,26.025000000000002,64.75,0.0,0.0,0
2016,7,190,0,-4.0,4,22.65,75.5,0.0,0.0,0
2016,7,190,1,-1.0,4,20.95,87.5,2.0,0.0,0
2016,7,190,2,-2.0,4,22.125,85.25,0.0,0.0,0
2016,7,190,3,4.0,4,22.475,84.75,0.0,0.0,0
2016,7,190,4,-8.0,4,22.025000000000002,89.5,0.0,0.0,0
2016,7,190,5,-15.0,4,20.95,91.5,1.0,0.0,0
2016,7,191,0,0.0,5,19.9,94.25,0.0,0.0,0
2016,7,191,1,0.0,5,18.975,92.25,0.0,0.0,0
2016,7,191,2,-4.0,5,23.8,61.75,0.0,0.0,0
2016,7,191,3,0.0,5,24.775,56.25,0.0,0.0,0
2016,7,191,4,-3.0,5,22.0,76.25,2.0,0.0,0
2016,7,191,5,-2.0,5,21.3,78.5,0.0,0.0,0
2016,7,192,0,-1.0,6,19.325,79.75,0.0,0.0,0
2016,7,192,1,-1.0,6,18.65,75.0,0.0,0.0,0
2016,7,192,2,6.0,6,23.325000000000003,54.75,0.0,0.0,0
2016,7,192,3,16.0,6,25.875,48.25,0.0,0.0,0
2016,7,192,4,-20.0,6,23.349999999999998,59.0,0.0,0.0,0
2016,7,192,5,-45.0,6,19.6,74.0,0.0,0.0,0
2016,7,193,0,15.0,0,19.224999999999998,71.5,0.0,0.0,0
2016,7,193,1,1.0,0,19.299999999999997,84.75,0.0,0.0,0
2016,7,193,2,-5.0,0,21.0,83.25,0.0,0.0,0
2016,7,193,3,47.0,0,22.0,73.25,0.0,0.0,0
2016,7,193,4,-9.0,0,21.25,69.0,0.0,0.0,0
2016,7,193,5,-74.0,0,20.025,75.0,0.0,0.0,0
2016,7,194,0,5.0,1,20.2,79.25,0.0,0.0,0
2016,7,194,1,-1.0,1,20.0,84.25,0.0,0.0,0
2016,7,194,2,-12.0,1,22.125000000000004,79.0,0.0,0.0,0
2016,7,194,3,36.0,1,24.05,72.5,0.0,0.0,0
2016,7,194,4,-14.0,1,24.0,73.0,0.0,0.0,0
2016,7,194,5,-50.0,1,23.200000000000003,75.5,0.0,0.0,0
2016,7,195,0,-2.0,2,22.35,79.5,0.0,0.0,0
2016,7,195,1,1.0,2,21.575000000000003,84.25,0.0,0.0,0
2016,7,195,2,-2.0,2,24.55,78.25,0.0,0.0,0
2016,7,195,3,9.0,2,26.700000000000003,74.0,0.0,0.0,0
2016,7,195,4,-12.0,2,25.925,69.5,0.0,0.0,0
2016,7,195,5,-19.0,2,22.65,82.0,0.0,0.0,0
2016,7,196,0,3.0,3,21.075,92.75,1.0,0.0,0
2016,7,196,1,0.0,3,20.9,93.75,0.0,0.0,0
2016,7,196,2,-6.0,3,21.800000000000004,91.75,0.0,0.0,0
2016,7,196,3,-1.0,3,24.025,80.0,0.0,0.0,0
2016,7,196,4,-8.0,3,23.45,79.25,0.0,0.0,0
2016,7,196,5,-19.0,3,20.8,86.5,1.0,0.0,0
2016,7,197,0,-3.0,4,19.950000000000003,94.5,0.0,0.0,0
2016,7,197,1,-9.0,4,19.475,93.25,0.0,0.0,0
2016,7,197,2,3.0,4,22.849999999999998,75.5,0.0,0.0,0
2016,7,197,3,11.0,4,24.375,61.75,0.0,0.0,0
2016,7,197,4,-9.0,4,23.925,54.5,0.0,0.0,0
2016,7,197,5,-21.0,4,19.2,68.75,0.0,0.0,0
2016,7,198,0,-6.0,5,17.125,72.25,0.0,0.0,0
2016,7,198,1,8.0,5,16.1,71.75,0.0,0.0,0
2016,7,198,2,-2.0,5,16.950000000000003,71.5,0.0,0.0,0
2016,7,198,3,4.0,5,18.425,72.5,0.0,0.0,0
2016,7,198,4,3.0,5,19.95,66.25,0.0,0.0,0
2016,7,198,5,-9.0,5,18.75,77.75,0.0,0.0,0
2016,7,199,0,-9.0,6,17.6,79.75,0.0,0.0,0
2016,7,199,1,7.0,6,17.375,73.5,0.0,0.0,0
2016,7,199,2,2.0,6,19.5,70.75,0.0,0.0,0
2016,7,199,3,-1.0,6,23.25,46.25,0.0,0.0,0
2016,7,199,4,4.0,6,22.174999999999997,58.75,0.0,0.0,0
2016,7,199,5,-5.0,6,21.25,76.25,0.0,0.0,0
2016,7,200,0,0.0,0,20.325000000000003,85.0,0.0,0.0,0
2016,7,200,1,2.0,0,19.775,90.25,0.0,0.0,0
2016,7,200,2,1.0,0,28.049999999999997,54.25,0.0,0.0,0
2016,7,200,3,-5.0,0,29.424999999999997,38.0,0.0,0.0,0
2016,7,200,4,-17.0,0,26.849999999999998,35.0,0.0,0.0,0
2016,7,200,5,-29.0,0,22.374999999999996,42.5,0.0,0.0,0
2016,7,201,0,2.0,1,18.825,51.5,0.0,0.0,0
2016,7,201,1,0.0,1,17.400000000000002,58.5,0.0,0.0,0
2016,7,201,2,10.0,1,21.825000000000003,48.75,0.0,0.0,0
2016,7,201,3,5.0,1,24.875,37.5,0.0,0.0,0
2016,7,201,4,-8.0,1,24.025000000000002,42.75,0.0,0.0,0
2016,7,201,5,-22.0,1,20.849999999999998,45.0,0.0,0.0,0
2016,7,202,0,-4.0,2,16.95,65.0,0.0,0.0,0
2016,7,202,1,1.0,2,16.725,70.0,0.0,0.0,0
2016,7,202,2,6.0,2,20.025,64.25,0.0,0.0,0
2016,7,202,3,4.0,2,22.8,55.25,0.0,0.0,0
2016,7,202,4,0.0,2,23.5,52.5,0.0,0.0,0
2016,7,202,5,-14.0,2,19.799999999999997,76.0,0.0,0.0,0
2016,7,203,0,-1.0,3,18.175,84.0,0.0,0.0,0
2016,7,203,1,-2.0,3,18.4,82.25,0.0,0.0,0
2016,7,203,2,0.0,3,21.775,77.0,0.0,0.0,0
2016,7,203,3,2.0,3,26.825,56.0,0.0,0.0,0
2016,7,203,4,-4.0,3,23.824999999999996,74.0,0.0,0.0,0
2016,7,203,5,-24.0,3,21.475,84.75,0.0,0.0,0
2016,7,204,0,3.0,4,20.275000000000002,86.25,0.0,0.0,0
2016,7,204,1,-3.0,4,20.225,88.0,0.0,0.0,0
2016,7,204,2,-2.0,4,26.400000000000002,73.25,0.0,0.0,0
2016,7,204,3,2.0,4,32.025,39.5,0.0,0.0,0
2016,7,204,4,-2.0,4,32.1,33.75,0.0,0.0,0
2016,7,204,5,-14.0,4,28.625,40.5,0.0,0.0,0
2016,7,205,0,2.0,5,25.525,50.5,0.0,0.0,0
2016,7,205,1,-1.0,5,23.775,57.5,0.0,0.0,0
2016,7,205,2,-3.0,5,29.475,40.75,0.0,0.0,0
2016,7,205,3,-6.0,5,29.825000000000003,41.0,0.0,0.0,0
2016,7,205,4,6.0,5,28.7,43.5,0.0,0.0,0
2016,7,205,5,2.0,5,27.275000000000002,46.75,0.0,0.0,0
2016,7,206,0,-5.0,6,24.275,58.25,0.0,0.0,0
2016,7,206,1,2.0,6,21.924999999999997,69.0,0.0,0.0,0
2016,7,206,2,0.0,6,21.875,74.0,0.0,0.0,0
2016,7,206,3,1.0,6,22.575000000000003,77.5,0.0,0.0,0
2016,7,206,4,0.0,6,22.5,82.25,0.0,0.0,0
2016,7,206,5,-2.0,6,21.225,86.75,0.0,0.0,0
2016,7,207,0,-1.0,0,21.2,93.25,0.0,0.0,0
2016,7,207,1,0.0,0,22.25,90.25,3.0,0.0,0
2016,7,207,2,5.0,0,21.525,93.25,0.0,0.0,0
2016,7,207,3,4.0,0,25.450000000000003,78.5,0.0,0.0,0
2016,7,207,4,-3.0,0,29.950000000000003,41.25,0.0,0.0,0
2016,7,207,5,-30.0,0,24.975,58.5,0.0,0.0,0
2016,7,208,0,5.0,1,21.975,66.5,0.0,0.0,0
2016,7,208,1,0.0,1,18.825000000000003,79.75,0.0,0.0,0
2016,7,208,2,0.0,1,22.200000000000003,70.25,0.0,0.0,0
2016,7,208,3,9.0,1,23.625,67.25,0.0,0.0,0
2016,7,208,4,-17.0,1,24.475,64.0,0.0,0.0,0
2016,7,208,5,-23.0,1,24.499999999999996,61.25,0.0,0.0,0
2016,7,209,0,-2.0,2,19.675,82.25,0.0,0.0,0
2016,7,209,1,0.0,2,19.099999999999998,86.75,0.0,0.0,0
2016,7,209,2,7.0,2,22.825,76.5,0.0,0.0,0
2016,7,209,3,-6.0,2,25.799999999999997,65.25,0.0,0.0,0
2016,7,209,4,-7.0,2,25.424999999999997,69.25,0.0,0.0,0
2016,7,209,5,-17.0,2,23.4,82.25,0.0,0.0,0
2016,7,210,0,3.0,3,22.625,85.25,0.0,0.0,0
2016,7,210,1,1.0,3,21.275,90.25,0.0,0.0,0
2016,7,210,2,-2.0,3,24.75,71.25,0.0,0.0,0
2016,7,210,3,8.0,3,26.049999999999997,62.0,0.0,0.0,0
2016,7,210,4,-5.0,3,25.974999999999998,57.5,0.0,0.0,0
2016,7,210,5,-30.0,3,24.575000000000003,62.0,0.0,0.0,0
2016,7,211,0,-6.0,4,23.075000000000003,69.5,1.0,0.0,0
2016,7,211,1,-2.0,4,21.45,63.0,0.0,0.0,0
2016,7,211,2,7.0,4,22.325,64.25,0.0,0.0,0
2016,7,211,3,4.0,4,23.35,64.0,0.0,0.0,0
2016,7,211,4,-15.0,4,23.85,66.75,0.0,0.0,0
2016,7,211,5,-20.0,4,22.975,63.25,0.0,0.0,0
2016,7,212,0,-2.0,5,20.975,61.25,0.0,0.0,0
2016,7,212,1,0.0,5,19.625,68.5,2.0,0.0,0
2016,7,212,2,0.0,5,20.3,69.75,1.0,0.0,0
2016,7,212,3,0.0,5,22.625,66.5,0.0,0.0,0
2016,7,212,4,-1.0,5,23.15,63.5,0.0,0.0,0
2016,7,212,5,6.0,5,22.025,68.25,0.0,0.0,0
